subject.id	tumor.only	tumor.name	tumor.bam	reference.name	reference.bam
IWK001	FALSE	IWK001_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK001_R.bam	IWK001_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK001_T.bam
IWK002	FALSE	IWK002_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK002_R.bam	IWK002_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK002_T.bam
IWK004	FALSE	IWK004_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK004_R.bam	IWK004_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK004_T.bam
IWK005	FALSE	IWK005_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK005_R.bam	IWK005_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK005_T.bam
IWK006	FALSE	IWK006_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK006_R.bam	IWK006_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK006_T.bam
IWK008	FALSE	IWK008_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK008_R.bam	IWK008_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK008_T.bam
IWK009	FALSE	IWK009_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK009_R.bam	IWK009_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK009_T.bam
IWK010	FALSE	IWK010_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK010_R.bam	IWK010_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK010_T.bam
IWK011	FALSE	IWK011_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK011_R.bam	IWK011_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK011_T.bam
IWK012	FALSE	IWK012_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK012_R.bam	IWK012_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK012_T.bam
IWK013	FALSE	IWK013_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK013_R.bam	IWK013_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK013_T.bam
IWK015	FALSE	IWK015_R	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK015_R.bam	IWK015_T	/home/tjohnson/workspace/runs/IWK_WGS_HMF_20210726/result/bam_final/IWK015_T.bam
